city,latitude,longitude,datetime,date,openweather_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,collected_at
Karachi,24.8607,67.0011,2026-08-16 17:00:00+05:00,2026-08-16,3,67.26,0.01,0.06,46.37,0.43,17.63,82.61,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-16 18:00:00+05:00,2026-08-16,3,67.08,0.0,0.07,46.72,0.45,17.82,84.03,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-16 19:00:00+05:00,2026-08-16,3,67.19,0.0,0.08,46.85,0.46,17.91,84.88,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-16 20:00:00+05:00,2026-08-16,3,67.34,0.0,0.08,46.84,0.46,18.1,85.82,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-16 21:00:00+05:00,2026-08-16,3,67.39,0.0,0.08,46.65,0.47,18.41,87.03,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-16 22:00:00+05:00,2026-08-16,3,67.4,0.0,0.08,46.48,0.48,18.84,88.72,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-16 23:00:00+05:00,2026-08-16,3,67.78,0.0,0.08,46.49,0.48,19.24,90.29,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 00:00:00+05:00,2026-08-17,3,68.17,0.0,0.08,46.42,0.48,19.49,91.55,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 01:00:00+05:00,2026-08-17,3,68.97,0.0,0.08,46.2,0.48,19.84,93.41,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 02:00:00+05:00,2026-08-17,3,69.46,0.0,0.09,45.87,0.49,20.31,95.54,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 03:00:00+05:00,2026-08-17,3,69.89,0.0,0.09,45.46,0.49,20.67,95.62,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 04:00:00+05:00,2026-08-17,3,70.14,0.0,0.09,45.2,0.49,20.88,94.86,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 05:00:00+05:00,2026-08-17,3,70.42,0.0,0.09,45.27,0.49,21.02,93.95,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 06:00:00+05:00,2026-08-17,3,70.78,0.0,0.09,45.5,0.49,21.18,94.15,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 07:00:00+05:00,2026-08-17,3,71.06,0.0,0.1,45.87,0.49,21.15,93.96,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 08:00:00+05:00,2026-08-17,3,71.25,0.0,0.1,46.16,0.48,20.9,92.47,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 09:00:00+05:00,2026-08-17,3,71.18,0.01,0.09,46.18,0.48,20.58,90.81,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 10:00:00+05:00,2026-08-17,3,71.12,0.01,0.08,45.89,0.48,20.38,89.9,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 11:00:00+05:00,2026-08-17,3,70.94,0.01,0.07,45.28,0.48,20.3,89.66,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 12:00:00+05:00,2026-08-17,3,70.74,0.01,0.07,44.34,0.47,20.16,89.41,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 13:00:00+05:00,2026-08-17,3,70.34,0.01,0.07,43.09,0.48,19.87,88.28,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 14:00:00+05:00,2026-08-17,3,70.17,0.01,0.07,41.67,0.48,19.47,86.69,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 15:00:00+05:00,2026-08-17,3,70.14,0.01,0.07,40.45,0.49,19.18,85.38,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 16:00:00+05:00,2026-08-17,3,70.41,0.01,0.07,39.43,0.49,18.92,83.93,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 17:00:00+05:00,2026-08-17,3,70.79,0.01,0.07,38.65,0.49,19.14,84.36,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 18:00:00+05:00,2026-08-17,3,71.38,0.01,0.08,38.01,0.5,19.87,87.05,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 19:00:00+05:00,2026-08-17,3,71.57,0.0,0.1,37.55,0.52,20.63,89.68,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 20:00:00+05:00,2026-08-17,3,71.93,0.0,0.1,37.42,0.53,21.1,91.04,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 21:00:00+05:00,2026-08-17,3,72.17,0.0,0.1,37.65,0.53,21.31,91.19,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 22:00:00+05:00,2026-08-17,3,72.52,0.0,0.11,38.13,0.54,21.51,91.33,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-17 23:00:00+05:00,2026-08-17,3,72.69,0.0,0.11,38.68,0.54,21.85,91.71,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-18 00:00:00+05:00,2026-08-18,3,72.82,0.0,0.12,39.08,0.55,22.19,91.55,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-18 01:00:00+05:00,2026-08-18,3,73.14,0.0,0.12,39.32,0.55,22.57,91.85,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-18 02:00:00+05:00,2026-08-18,3,73.3,0.0,0.12,39.19,0.55,22.82,92.28,0,2026-08-16T17:37:05.939457
Karachi,24.8607,67.0011,2026-08-18 03:00:00+05:00,2026-08-18,3,73.24,0.0,0.12,38.7,0.55,22.88,93.03,0,2026-08-16T17:37:05.939457
