city,latitude,longitude,datetime,date,temperature,feels_like,temperature_min,temperature_max,pressure,humidity,dew_point,wind_speed,wind_direction,wind_gust,cloudiness,precipitation_probability,rain_3h,visibility,weather_id,weather_main,weather_description,collected_at
Karachi,24.8607,67.0011,2026-08-16 20:00:00+05:00,2026-08-16,27.91,30.37,27.26,27.91,1001,69,21.7,6.71,237,7.66,84,0.0,0.0,10000,803,Clouds,broken clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-16 23:00:00+05:00,2026-08-16,27.35,30.09,26.91,27.35,1002,76,22.75,7.36,250,8.42,89,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 02:00:00+05:00,2026-08-17,26.71,29.34,26.71,26.71,1002,83,23.56,7.36,255,8.99,100,0.2,0.15,10000,500,Rain,light rain,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 05:00:00+05:00,2026-08-17,26.82,29.26,26.82,26.82,1001,79,22.88,7.67,261,9.09,99,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 08:00:00+05:00,2026-08-17,27.52,30.45,27.52,27.52,1002,76,22.79,7.47,262,8.34,85,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 11:00:00+05:00,2026-08-17,28.62,32.25,28.62,28.62,1003,72,22.91,8.02,242,8.36,83,0.0,0.0,10000,803,Clouds,broken clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 14:00:00+05:00,2026-08-17,29.17,33.1,29.17,29.17,1001,70,22.94,7.96,235,8.23,94,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 17:00:00+05:00,2026-08-17,28.38,32.21,28.38,28.38,1001,75,23.41,8.39,237,9.01,98,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 20:00:00+05:00,2026-08-17,27.65,30.85,27.65,27.65,1002,77,23.25,7.78,240,8.89,100,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-17 23:00:00+05:00,2026-08-17,27.07,29.8,27.07,27.07,1004,79,23.12,7.32,257,8.67,100,0.2,0.11,10000,500,Rain,light rain,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 02:00:00+05:00,2026-08-18,26.62,26.62,26.62,26.62,1002,83,23.46,7.95,255,9.76,100,0.2,0.12,10000,500,Rain,light rain,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 05:00:00+05:00,2026-08-18,27.44,30.51,27.44,27.44,1002,78,23.13,7.44,258,8.87,100,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 08:00:00+05:00,2026-08-18,27.67,30.9,27.67,27.67,1004,77,23.24,8.38,256,9.85,100,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 11:00:00+05:00,2026-08-18,28.78,32.79,28.78,28.78,1004,73,23.36,8.83,252,9.86,100,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 14:00:00+05:00,2026-08-18,29.14,33.43,29.14,29.14,1003,72,23.32,9.24,248,9.89,81,0.0,0.0,10000,803,Clouds,broken clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 17:00:00+05:00,2026-08-18,28.5,32.49,28.5,28.5,1002,75,23.39,8.83,244,10.16,83,0.0,0.0,10000,803,Clouds,broken clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 20:00:00+05:00,2026-08-18,27.73,31.03,27.73,27.73,1003,77,23.25,9.09,252,10.28,88,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-18 23:00:00+05:00,2026-08-18,27.27,30.13,27.27,27.27,1005,78,23.15,8.68,254,10.13,93,0.0,0.0,10000,804,Clouds,overcast clouds,2026-08-16T17:37:06.961287
Karachi,24.8607,67.0011,2026-08-19 02:00:00+05:00,2026-08-19,26.7,29.24,26.7,26.7,1003,82,23.3,9.3,262,11.06,100,0.2,0.11,10000,500,Rain,light rain,2026-08-16T17:37:06.961287
